tic,conm,cik,sic
NECB.1,NEW ENG CMNTY BANCORP  -CL A,752324,6020
CHCAQ,CONSD HEALTH CARE ASSOC INC,752346,8093
GRDN.,GARDEN STATE BANCSHARES INC,752390,6020
NWK,NETWORK EQUIPMENT TECH INC,752431,3576
UMH,UMH PROPERTIES INC,752642,6798
MILT,MILTOPE GROUP INC,752692,3577
MGRC,MCGRATH RENTCORP,752714,7359
XCRP,XCORPOREAL INC,752789,9995
AXIHQ,AXION INTL HOLDINGS INC,753048,3089
SNDTF,SAND TECHNOLOGY INC  -CL A,753050,7372
OCENY,OCE NV,753058,3861
3RGFX,RASTER GRAPHICS INC,753081,3577
CNGL.2,CHINA NUTRIFRUIT GROUP LTD,753224,2030
BAIB,BAILEY CORP,753237,3714
AII.3,AMER INSD MTG SER 85  -LP,753281,6799
NEE,NEXTERA ENERGY INC,753308,4911
EXAR,EXAR CORP,753568,3674
OISO,OIS OPTICAL IMAGING SYSTEMS,753601,3679
VLVLY,VOLVO AB,753762,3711
CSTL.1,CONSTELLATION BANCORP,753766,6020
SNDS.1,SANDS REGENT,753899,7990
SIE,SIERRA HEALTH SERVICES,754009,6324
OLCC,OLYMPUS CAPITAL CORP,754019,6035
BRGS,BARRISTER GLOBAL SVCS NTWK,754128,7370
ROSX,ROSS INDUSTRIES,754365,3550
3OMCA,OCCUPATIONAL MED CORP AMER,754438,8011
BRKT,BROOKTROUT INC,754516,3661
HABC,HABERSHAM BANCORP INC,754597,6020
SCNB,SUFFOLK BANCORP,754673,6020
SCG,SCANA CORP,754737,4931
GROW,U S GLOBAL INVESTORS INC,754811,6282
LATX.,LATEX RESOURCES INC,754881,1311
3PMCX,PAK MAIL CNTRS AMERICA INC,754921,6794
UTL,UNITIL CORP,755001,4931
MASC,MATERIAL SCIENCES CORP,755003,3470
PCTL.1,PICTURETEL CORP,755095,3661
ORNHQ,ORION HEALTHCORP INC,755113,8011
TMG.1,TRANSMONTAIGNE INC,755199,4610
REO.3,REA GOLD CORP,755227,1040
VPGC,VPGI CORP,755229,9995
SAND.1,SANDATA TECHNOLOGIES INC,755465,7374
SKII,S-K-I LTD,755499,7990
ROTO,ROTO ROOTER INC,755548,7600
SPCO.,SOFTWARE PUBLISHING CORP,755659,7372
PARD,PONIARD PHARMACEUTICALS INC,755806,2835
EQKR,EQK REALTY INVESTORS,755926,6798
IFCJ,INTERCHANGE FINL SVCS CP/NJ,755933,6020
ZING.1,ZING TECHNOLOGIES INC,756055,3674
IKOS,IKOS SYSTEMS INC,756365,7373
3MGXI,MICROGRAFX INC,756497,7372
BTY10,BT GROUP PLC,756620,4813
HMGCQ,HMG WORLDWIDE CORP,756680,3990
DMET,DIGITAL METCOM INC,756759,7385
KWP,KING WORLD PRODUCTIONS INC,756764,7822
HCNP,HAMPTON CONSULTING CORP,756767,6200
CFER,CONFERTECH INTERNATIONAL INC,756768,7389
FFBG,FIRST FED SVGS BK BRUNSWICK,756775,6035
B,BARRICK MINING CORP,756894,1040
FKBC,FIRST KNOX BANC CORP,756899,6020
NUVI.1,NUVISION INC,756918,5990
NLWP,PCC GROUP INC,756972,5045
USG.1,USG CORP,757011,3270
CTZ.1,CORPUS CHRISTI BNCSHARES INC,757012,6020
DOCP,DELAWARE OTSEGO CORP,757189,4011
WFSB,1ST WASHINGTON BANCORP INC,757762,6035
3YUKN,YUKON ENERGY CORP,757763,3585
CUNB.1,CUPERTINO NATL BANCORP,757790,6020
NOVL,NOVELL INC,758004,7370
GBAN,GATEWAY BANCORP INC,758029,6020
3IVCIB,IVCI CORP  -CL B,758249,5812
STJC,SAINT JAMES CO,758256,2080
CHIK.1,GOLDEN POULTRY CO INC,758292,2015
7419B,DELTA RENTAL SYSTEMS INC,758328,7990
GPSI.,GREAT PLAINS SOFTWARE INC,758540,7372
BINDQ.1,BUSH INDUSTRIES  -CL A,758604,2511
3PLHCQ,PARACELSUS HEALTHCARE CORP,758722,8062
VIDE,VIDEO DISPLAY CORP,758743,3670
3SYNL.,SYNTELLECT INC,758830,3661
QBAK,QUALSTAR CORP,758938,3572
3NEKDA,NEUROTECH DEVELOPMENT CORP,758953,1540
PDRT,PARTICLE DRILLING TECH INC,759153,9995
3VIPIS,VININGS INVESTMENT PPTYS TR,759174,6798
GMI.,GEMINI II,759277,6726
PDAS,PDA ENGINEERING,759436,7372
FCCX,FIRST CENTRAL FINANCIAL CORP,759441,6331
GRM.1,GRAND METROPOLITAN PLC,759492,2050
LAFCB,LOAN AMERICA FINANCIAL -CL B,759578,6162
3IVES,INVESTMENT TECHNOLOGIES INC,759672,6282
BERK,BERKSHIRE BANCORP INC,759718,6020
MPD.1,MERIDIAN POINT REALTY TR IV,759819,6798
JHI,JOHN HANCOCK INVESTORS TRUST,759828,6726
QBAL,JILLIANS ENTERTAINMENT CORP,759855,7990
JHS,HANCOCK (JOHN) INCOME SEC,759866,6726
CFG,CITIZENS FINANCIAL GROUP INC,759944,6020
3AJRLE,ROSS (A.J.) LOGISTICS INC,760031,3440
FLFC,FIRST LIBERTY FINANCIAL CORP,760077,6035
SBOS,BOSTON BANCORP,760079,6036
OUTD,OUTDOOR CHANNEL HLDGS INC,760326,4833
MAIJ,MAI SYSTEMS CORP,760436,7373
PNTK,PENTECH INTERNATIONAL INC,760461,3950
7182B,LEO'S INDUSTRIES INC,760487,4812
BANF,BANCFIRST CORP/OK,760498,6020
ACCN,AMERICAN CAPITAL CORP,760684,6036
WLRF,WLR FOODS INC,760775,2015
ANBC,ANB CORP,760992,6020
INB.2,COMMUNITY INDEPENDENT BANK,760993,6020
CGUL,MARGATE INDUSTRIES INC,761198,3470
CJER,CENTRAL JERSEY BANCORP-OLD,761201,6020
IRMC,IMCOR PHARMACEUTICAL CO,761237,2835
RADA,RADA ELECTRONIC INDUSTRIES,761238,3812
ATMD.1,ATTENTION MEDICAL CO,761272,5047
PRBC.,PREMIER BANCORP,761332,6020
CDR,CEDAR REALTY TRUST INC,761648,6798
GMBS,GEORGE MASON BANKSHARES INC,761651,6020
IPT.1,IP TIMBERLANDS  -LP-CL A,761860,800
STNX,STARTRONIX INTERNATIONAL INC,761895,4899
RPIC,REPUBLIC PICTURES,761915,7822
PBTC,PEOPLES BANCTRUST INC,762128,6020
AES1,CILCORP INC,762129,4931
SHCID,SALICK HEALTH CARE INC,762131,8093
IGLSF,INSITUFORM GROUP LTD  -ORD,762151,1700
3ACFY,AMERICAN CONFECTIONERY CORP,762404,2060
AQSIC,AQUASCIENCES INTL INC,762831,3580
ITC.EC,INTELLIGENT CONTROLS INC,762953,3824
BCL.1,BIOCRAFT LABORATORIES INC,763043,2834
ROIX,RESPONSE ONCOLOGY,763098,8011
MVSTC,MULTIVEST CORP,763135,5030
MTMI.1,MICROTEK MED INC,763180,3842
XLDC,XL DATACOMP INC,763358,5045
RGCM,REGAL COMMUNICATIONS CORP,763414,5961
LYTS,LSI INDUSTRIES INC,763532,3640
CHMG,CHEMUNG FINANCIAL CORP,763563,6020
RAWA,RENT A WRECK OF AMERICA INC,763567,6794
CBOG.,COMMUNITY BANCSHARES INC/TN,763585,6020
HIST,GALLERY OF HISTORY INC,763730,5990
3PNTHE,PANTHEON INDUSTRIES INC,763733,6162
EVI.1,EQUIVEST INC,763738,6798
3MRNKQ,MORRISON KNUDSEN CORP OLD,763739,1540
LCII,LCI INDUSTRIES,763744,3711
PICOA,PHYSICIANS INS CO/OH  -CL A,763842,6351
BPOP,POPULAR INC,763901,6020
FUNC,FIRST UNITED CORP,763907,6020
UNDT,UNIVERSAL DETECTION TECHNOL,763950,3823
3JNZZ,GRUBB & ELLIS REALTY INCOME,763977,6798
3ENCC.,ENCORE COMPUTER CORP,764037,3571
SSB,SOUTH STATE BANK CORP,764038,6020
SIMC,SIMCLAR INC,764039,3679
CLF,CLEVELAND-CLIFFS INC,764065,3310
MO,ALTRIA GROUP INC,764180,2111
VBIVQ,VBI VACCINES INC,764195,2836
BNHB,BNH BANCSHARES INC,764205,6020
EMBR.1,EMBRACE SYSTEMS CORP,764218,3089
IBNKQ,INTEGRA BANK CORP,764241,6020
INTV.1,INTERVOICE INC,764244,3661
BTRE,BROOKTREE CORP,764271,3674
SHKIF,SHL SYSTEMHOUSE INC,764371,7373
IIIN,INSTEEL INDUSTRIES,764401,3310
GRNB.1,GREEN BANKSHARES INC,764402,6020
ETW.1,E'TOWN CORP,764403,4941
BBY,BEST BUY CO INC,764478,5731
3PERL,PERLE SYSTEMS LTD,764485,3576
3DTIAE,DIGITAL TRANSMISSION  -CL A,764577,3661
CASM,CAS MEDICAL SYSTEMS INC,764579,3845
CSTM.1,CLEAN SYSTEMS TECHNOLOGY GP,764587,3564
RPAML,ROYAL PALM BEACH COLONY  -LP,764606,6532
PNW,PINNACLE WEST CAPITAL CORP,764622,4911
LDG,LONGS DRUG STORES CORP,764762,5912
NPSI,NORTH PITTSBURGH SYSTEMS,764765,4813
COB,COMMUNITYONE BANCORP,764811,6020
PSWS,PURESAFE WATER SYSTEMS INC,764839,3580
SDNA,SEDONA CORP,764843,7370
FPWBQ,FOUNTAIN POWERBOAT INDS INC,764858,3730
AMQT,AMERIQUEST TECHNOLOGIES INC,764864,5045
DEP.A,DAMSON ENERGY CO  -LP-CL A,764865,1311
ITCC.1,ITC LEARNING CORP,764867,5045
PMORQ,PHAR-MOR INC,764960,5912
3ATNN,ATNN INC,765028,5500
HMHC.1,HALLMARK HEALTHCARE CORP,765052,8062
FNLC,FIRST BANCORP INC/ME,765207,6020
CCTVY,CARLTON COMMUNICATIONS PLC,765245,4833
IMCL.1,IMCLONE SYSTEMS INC,765258,2836
OMET,ORTHOMET INC,765353,3842
LAB.A,NICHOLS INSTITUTE,765410,8071
STMIQ,STM WIRELESS INC,765414,3663
JAMY,JAM INC,765449,7373
MJK,MAGICWORKS ENTERTAINMENT INC,765803,7900
3PMCI,PMC INTL INC,765815,6282
DOC,HEALTHPEAK PROPERTIES INC,765880,6798
SHIP.2,REGENCY CRUISES INC,765881,4400
3HIGH,HIGHLAND SUPERSTORES INC,766003,5731
0053A,SBARRO INC,766004,5812
CMCL,CALEDONIA MINING CORP PLC,766011,1040
CNSP.1,CENTRAL SPRINKLER CORP,766041,3490
MSOF,MULTI SOFT INC,766404,7372
ALK,ALASKA AIR GROUP INC,766421,4512
AMK.2,AMERICAN TECHNICAL CERAMICS,766430,3670
ENVE,ENVENTIS CORP,766561,4813
OXCI,OXFORD CONSOLIDATED,766585,1311
RNDM.1,RANDOM ACCESS INC,766588,5045
CMO,CAPSTEAD MORTGAGE CORP,766701,6798
WELL,WELLTOWER INC,766704,6798
GECMQ,GENICOM CORP,766738,3577
CVV,CVD EQUIPMENT CORP,766792,3559
3OMPO,OMNIPOWER INC,766822,1311
3NYTSE,NYTEST ENVIRONMENTAL INC,766823,8734
HTO,H2O AMERICA,766829,4941
CVII.1,CONVERSION INDS INC,766849,6799
3UQSTE,UNIQUEST INC,766887,7372
MMI.2,MMI COMPANIES INC,767308,6351
SBFG,SB FINANCIAL GROUP INC,767405,6020
SERO,SEROLOGICALS CORP,767673,2836
CERE.1,CERES INC,767884,100
PMCS,PMC-SIERRA INC,767920,3674
CHPS.1,CHIPS & TECHNOLOGIES INC,767965,3674
DATC,DATATEC SYSTEMS INC,768119,7373
LAN.1,LANCER CORP/TX,768162,3585
SBNK.,SUBURBAN BANCSHARES INC/MD,768177,6020
KLHC,KLH COMPUTERS INC,768178,5045
ALTR.1,ALTERA CORP,768251,3674
HPPS,HEALTHY PLANET PRODUCTS INC,768260,2771
SY.3,SYBASE INC,768262,7372
SUNT.,SUNWARD TECHNOLOGIES,768263,3679
BJICA,BEN & JERRY'S HOMEMDE  -CL A,768384,2024
CYAN,CYANOTECH CORP,768408,2833
CYBE,CYBEROPTICS CORP,768411,3827
FCBIA,FIRST COMM BANCSHARES  -CL A,768532,6020
3GBNC,GUARANTY BANCSHARES CORP,768536,6020
TCCEA,TOWN & COUNTRY CORP  -CL A,768608,3911
MIP.1,MIP PROPERTIES INC,768680,6798
RELV,RELIV INTERNATIONAL INC,768710,2834
ICSI.,INTL CONTAINER SYSTEMS INC,768832,3089
BIGGQ,BIG LOTS INC,768835,5331
DOCG,DOCUGRAPHIX INC,768841,7373
HAXS,BPO MANAGEMENT SERVICES/PA,768892,7374
TBI,TRUEBLUE INC,768899,7363
TCGN,TECHNOLOGY GENERAL CORP,768914,6510
WFDS,WORTHINGTON FOODS INC,768978,2090
COP.2,COPLEY PROPERTIES INC,769017,6798
KURZ,KURZWEIL APPLIED INTEL INC,769191,3577
FSBI,FIDELITY BANCORP INC/PA,769207,6036
AEG,AEGON LTD,769218,6311
LAC.1,LAC MINERALS LTD,769271,1040
AMBJ,AMERICAN CITY BUS JOURNALS,769339,2711
ADSK,AUTODESK INC,769397,7370
GDYN.1,GEODYNAMICS CORP,769409,8711
COU,COURTAULDS PLC,769417,2800
NRDRF,CONSOLIDATED NRD RESOURCES,769508,1311
MIDD,MIDDLEBY CORP,769520,3580
COMX,COMTREX SYSTEMS CORP,769525,3578
CYM.1,CYPRUS AMAX MINERALS CO,769589,1000
NTTYY,NTT INC,769594,4813
3WELSE,WELLSTEAD INDUSTRIES INC,769626,5099
CNJ,COLE NATIONAL CORP,769644,5990
HII.2,HEALTH IMAGES INC,769689,8071
CPSA.1,CENTRAL PA FINANCIAL CORP,769751,6036
GNBC.1,GLENDALE BANCORPORATION,769800,6020
3REMC,REMEC INC,769874,9995
RECQQ,RECYCLING INDUSTRIES INC,769879,5093
RHAB,REHABILITY CORP,769908,8093
7553B,NEWMARK & LEWIS INC,769940,5731
ISTC,INSTRUCTIVISION INC,770183,8200
CRWTF,SPI SUSP & PARTS INDS  -ORD,770320,3790
ADIC,ADVANCED DIGITAL INFO CORP,770403,3572
PFBX,PEOPLES FINANCIAL CORP/MS,770460,6020
SEAM,SEAMAN FURNITURE CO,770504,5712
HPLX10,HEALTHPLEX INC,770506,6324
CLOS,AMERN SAFETY CLOSURE,770701,3089
TDCXE,TECHNOLOGY DEVELOPMENT CORP,770719,3825
BFTH,BALLY TOTAL FITNESS HLDG CP,770944,7990
RBK,REEBOK INTERNATIONAL LTD,770949,3021
ROTC,ROTECH MEDICAL CORP,771142,8082
VCELA,VANGUARD CELLULAR SYS  -CL A,771178,4812
ELMS.1,ELMER'S RESTAURANTS INC,771214,5812
SPRI,SPORTS RESORTS INTL INC,771249,3714
DOC.4,DIGITAL ANGEL CORP -OLD,771252,3669
KOPN,KOPIN CORP,771266,3674
IJL,INTERSTATE/JOHNSON LANE INC,771296,6211
BSN.1,BOSTON TECHNOLOGY INC,771470,3661
PDGE,PDG ENVIRONMENTAL INC,771485,4955
ABM,ABM INDUSTRIES INC,771497,7340
BMG.1,BATTLE MOUNTAIN GOLD CO,771498,1040
SRSK,STAR STRUCK LTD,771504,5063
BRBW,BRUNSWICK BANCORP,771614,6020
PRT.1,PRUDENTIAL REALTY TRUST,771641,6798
SOCI,SOUTHERN ENERGY CO INC,771642,1220
AHM.1,AHMANSON (H F) & CO,771667,6035
3MPHO,MEDPHONE CORP,771674,3845
CHOL,CENTRAL HOLDING CO,771722,6035
AAIIQ,ALABAMA AIRCRAFT INDUSTRIES,771729,3721
3CLSR.,CALSTAR INC,771777,5961
STTX.,STEEL TECHNOLOGIES INC,771790,3310
NWSLF,NOWSCO WELL SERVICE LTD,771796,1389
FAI.3,FAI INSURANCE LTD,771810,6331
CSBR,CHAMPIONS ONCOLOGY INC,771856,2836
3DBDBE,DBRIT CORP,771858,7370
AGLFQ,ATLANTIC GULF COMMUNITIES CP,771934,6532
STT.3,SUPERIOR TELETEC INC,771935,3357
DIAL.1,WESTWOOD ONE INC,771950,4832
3CPFTF,CONSOLIDATED PROFESSOR MINES,771965,1040
PAAS,PAN AMERICAN SILVER CORP,771992,1040
3ILGCE,INTELOGIC TRACE INC,771993,7370
DSS,DSS INC,771999,7373
IVX.2,IVAX CORP,772197,2834
NICH,NITCHES INC,772263,2330
CRXM,TAXUS CARDIUM PHARMACEUTICLS,772320,2836
ABFIQ,AMER BUSINESS FINL SVCS INC,772349,6141
XUPS,EXIDE ELECTRONICS GROUP INC,772372,3620
TPCA.,TOTAL PHARMACEUT CARE,772377,8082
CRUS,CIRRUS LOGIC INC,772406,3674
EQNX.,EQUINOX SYSTEMS INC,772465,3576
EDAC,EDAC TECHNOLOGIES CORP,772572,3829
3RMBC,ROCKY MTN BEVERAGE CO,772831,2086
EASI.1,ENGINEERED SUPPORT SYSTEMS,772891,3585
HTCH,HUTCHINSON TECHNOLOGY INC,772897,3679
VDCY,VIDEO CITY INC,773135,7841
RYOU,RAMSAY YOUTH SERVICES INC,773136,8060
MDC,MDC HOLDINGS INC,773141,1531
FORLQ,FORELAND CORP,773326,1311
DSP.1,DIAMOND SHAMRCK OFFSHOR  -LP,773350,1311
ENSA,ENVIRONMENTAL SERVICES AMER,773399,4955
IDMCQ,INDYMAC BANCORP INC,773468,6162
ETCIA,ELECTR TELE-COMMUNCTN,773547,3661
CKRB,CHECKROBOT INC,773548,3578
KREN,KINGS ROAD ENTERTAINMENT,773588,7812
HEKN,HEEKIN CAN INC,773594,3411
RCP.1,ROCKEFELLER CENTER PPTYS INC,773652,6798
NAM.1,NORTH AMERICAN TRUST,773654,6798
CSYI,CIRCUIT SYSTEMS INC,773657,3672
3799B,HEALTHMARKETS INC,773660,6321
DSPT,DSP TECHNOLOGY INC,773720,3829
HAUSQ,HAUSER INC,773723,2833
ISKO,ISCO INC,773730,3823
HON,HONEYWELL INTERNATIONAL INC,773840,9997
GFLS,GREATER COMMUNITY BANCORP,773845,6020
APC.1,ANADARKO PETROLEUM CORP,773910,1311
TNXS,TRANSAXIS INC,774055,7389
CX.2,CENTERIOR ENERGY CORP,774197,4911
WB.1,WACHOVIA CORP-OLD,774203,6020
UTH.,UNION TEXAS PETRO HLDGS INC,774214,1311
AWII,AMERIWOOD INDS INTL CORP,774487,2511
ALRN.1,AMERICAN LEARNING CORP,774517,8300
CSELQ,CARIBBEAN SELECT INC,774554,2033
CLDB,CORTLAND BANCORP,774569,6020
GRP.2,ALLIED GROUP INC,774624,6331
MPG.1,MERIDIAN POINT RLTY TR VII,774653,6798
DOCKS,CHICAGO DOCK & CANAL TRUST,774658,6798
PCLE,PINNACLE SYSTEMS INC,774695,3577
7556A,ENVIRONMENTAL SYSTEMS CO,774709,4955
ISHI,BIOZHEM COSMECEUTICALS INC,774740,5990
ELED,EXELED HOLDINGS INC,774937,4512
ALTX,ALTEX INDUSTRIES INC,775057,1311
OSK,OSHKOSH CORP,775158,3711
INTS.1,INTEGRATED SYSTEMS INC,775163,7372
HBT,HBT FINANCIAL INC,775215,6020
PLP.1,PLAINS PETROLEUM CO,775272,1311
SWH.3,SPAGHETTI WAREHOUSE INC,775298,5812
Y,ALLEGHANY CORP,775368,6331
GBBK.1,GREATER BAY BANCORP,775473,6020
ARC.3,ATLANTIC RICHFIELD CO,775483,2911
NRC.2,NAC RE CORP,775542,6331
3HIWDF,HIGHWOOD RESOURCES LTD,775614,1400
COVI.,CONTINENTAL VENTURES INC,775616,6799
VIST.1,VIST FINANCIAL CORP,775662,6020
RFIN,ROCK FINANCIAL CORP/NJ,775663,6020
CPFR,CAMERA PLATFORMS INTL INC,775714,3861
CDCR,CHILDRENS DISCOVERY,775820,8351
DEFI.1,DEFIANCE INC,775995,3714
RCPIQ,ROCK CREEK PHARMACEUTICALS,776008,2834
CDV.A,CHAMBERS DEVELOPMENT  -CL A,776074,4953
3CWEXE,CWE INC,776208,5734
RSCR,RES-CARE INC,776325,8050
VISRF.1,VISCOUNT RESOURCES LTD,776764,1311
CBNH,COMMUNITY BANKSHARES INC/NH,776815,6036
KLY,KELLEY OIL & GAS PTRS  -LP,776818,1311
PNB.,PREMIER NATIONAL BANCORP,776848,6020
WTM,WHITE MTNS INS GROUP LTD,776867,6331
ADT.1,ADT LTD,776873,7380
OSHSF,OSHAP TECHNOLOGIES LTD,776900,7373
INDB,INDEPENDENT BANK CORP/MA,776901,6020
FAH,FIRST AMER HEALTH CONCEPTS,776997,7389
BSC.1,BEAR STEARNS COMPANIES INC,777001,6211
EDMK,EDMARK CORP,777249,7372
SPEK,SPEC'S MUSIC INC,777277,5735
3AOIC,AOI COAL CO,777358,1221
SKFRY,SKF AB,777504,3562
TCAR,TENDERCARE INTERNATIONAL INC,777513,2670
SRLX.,SUMMA RX LABORATORIES INC,777517,2834
3PWSPE,POWER SPECTRA INC,777527,8731
STKY,STOKELY USA INC,777538,2033
SAM.2,SAMSON ENERGY CO  -LP,777568,1311
3POKI,POCI INC,777623,4522
YFED,YORK FINANCIAL CORP,777876,6035
ADB.1,ADOBE RESOURCES CORP,777877,1311
SDY.1,SANDY CORPORATION,778107,8700
IRNE,INTRENET INC,778161,4213
ALTO,ALTO INGREDIENTS INC,778164,2860
RCKE,ROCK ENERGY RESOURCES INC,778165,1040
CYTB,CRYSTAL BRANDS,778169,2320
CNVLZ,CITY INVESTING CO LIQ TR,778171,6726
SLP.1,SUN ENERGY PARTNERS  -LP,778201,1311
SRRI,SYNERGY RENEWABLE RESOURCES,778208,1000
NRL.1,NORRELL CORP,778397,7363
HOST,ARLINGTON HOSPITALITY INC,778423,7011
USI.2,U S INTEC INC,778424,2950
AGIS,AEGIS COMMUNICATIONS GROUP,778426,7389
GRG.2,GREENERY REHABILITATION GRP,778433,8051
IND.3,AMERICAN INDL PPTYS REIT,778437,6798
LOG.2,RAYONIER TIMBERLANDS  -LP,778439,800
FOLI,FOLIAGE PLUS INC,778702,3990
3ADIE,AUTODIE CORP,778705,3540
GDMK.,GOODMARK FOODS,778709,2013
3XXDTB,BANYAN MTG INVESTORS  -LP II,778714,6799
TOWRQ,TOWER AIR INC,778718,4512
MEAS,MEASUREMENT SPECIALTIES INC,778734,3829
CRAN.1,CROWN ANDERSEN INC,778808,3564
BXG,BLUEGREEN VACATNS CORP,778946,7011
FBMI,FIRSTBANK CORP,778972,6020
JKHY,HENRY (JACK) & ASSOCIATES,779152,7389
PROI,PROTERION CORP,779164,3829
HIRD,DIVERSIFIED CORP RESOURCES,779226,7361
GWCC,GWC CORP,779244,4941
DIAN,DIANON SYSTEMS INC,779282,8071
ICBI,INTL CONSUMER BRANDS INC,779314,3540
3BIRS,BIRMINGHAM STEEL CORP,779334,3312
GDVTZ,GOULD INVESTORS  -LP,779335,6512
IAF,ABRDN AUSTRALIA EQUITY FUND,779336,6726
3DCIS,DELTA COMPUTEC INC,779338,7370
ASPT.,ASPECT COMMUNICATIONS CORP,779390,7372
ARKR,ARK RESTAURANTS CORP,779544,5812
9085B,COLUMBIA REAL ESTATE INVS,779608,6798
3ZENOE,ZENOX INC,779676,8051
CYSG,CAPE SYSTEMS GROUP INC,779681,7372
ORGG.,ORGANOGENESIS INC,779733,2836
USTS,U S TRANSPORTATION SYS,779954,4100
NHP,NATIONWIDE HEALTH PPTYS INC,780053,6798
NEOL.,NEOLENS INC,780068,3851
WRC.2,WORLD COLOR PRESS INC-OLD,780117,2750
AMWT,AMWEST INSURANCE GROUP INC,780118,6351
SYNO,SYNOVIS LIFE TECH INC,780127,3842
7435B,BETHLEHEM RESOURCES CORP,780129,1000
OFLD,OFFICELAND INC,780260,5900
FACE.1,FACELIFTERS HOME SYSTEMS INC,780261,2430
7503B,BLAU (BARRY) & PARTNERS INC,780265,7331
3LATN,LATIN FOODS INTL INC,780376,5141
SFP.,SANTA FE ENERGY PRTNRS  -LP,780391,1311
VTX.1,VERTEX COMMUNICATIONS CORP,780416,3663
RESP.,RESPIRONICS INC,780434,3842
ITRI,ITRON INC,780571,3824
8151B,INTERNATIONAL TELECHARGE INC,780853,4813
GPKUF,GRAND PEAK CAPITAL CORP,781885,6799
IMJX,IMAGEXPRES CORP,781890,5065
LMLP.1,LML PAYMENT SYSTEMS INC,781891,6099
7630B,C & E FURNITURE INDUSTRIES,781893,6795
3VXTKE,VERONEX TECHNOLOGIES INC,781894,7373
3TEQEF,TRIAN EQUITIES LTD,781895,6799
IBAL,INTERNATIONAL BALER CORP,781902,3569
WGLF,WOMENS GOLF UNLIMITED INC,782126,3949
PLYI,PLAYNET TECHNOLOGIES INC,782145,7372
VCTRQ,VECTRA TECHNOLOGIES INC,782379,4955
GLG.2,GLAMIS GOLD LTD,782819,1040
GLCH,GLEACHER & COMPANY INC,782842,6211
BWLR,BREAKWATER RESOURCES LTD,782875,1000
ATCM,AT COMM CORP,782995,3576
3MGGRF,MANAGEMENT GRAPHICS INC,782999,7372
EMMS,EMMIS CORP,783005,4832
FAL.1,FALCON CABLE SYSTEMS  -LP,783008,4841
ACCC.,ACC CORP,783233,4813
AACI.1,ALL AMERICAN COMMUNICATIONS,783265,7812
3GDCXQ,GROWTH DEVELOPMENT CORP,783266,7997
DRE,DUKE REALTY CORP,783280,6798
COGRA,COLONIAL GROUP  -CL A,783282,6282
SBNR,SUNBELT NURSERY GROUP INC/DE,783319,5200
VGZ,VISTA GOLD CORP,783324,1040
WEC,WEC ENERGY GROUP INC,783325,4931
DJCO,DAILY JOURNAL CORP,783412,7372
ALC.2,ALC COMMUNICATIONS INC,783425,4813
ASI,AMERICAN SAFETY INS HLDG LTD,783603,6331
EBSI.1,EAGLE BANCSHARES INC,783604,6035
GBMT,GLOBAL MAINTECH CORP,783738,3571
BTFG,BANCTRUST FINANCIAL GRP INC,783739,6020
PBK.,PONCEBANK,783850,6035
ENTI.,INTERCONTINENTAL ENTERPRISES,783994,6211
FAMF,FIRST AMFED CORP,783995,6035
POPE,POPE RESOURCES/DE  -LP,784011,800
GNTRF,GENTERRA CAPITAL INC,784012,6510
AIJ,AMER INSD MTG SER 86  -LP,784014,6799
PBS.2,PILGRIM AMER BANK & THRIFT,784055,6726
AORT,ARTIVION INC,784199,3842
3SWAL,STATESWEST AIRLINES,784259,4512
BRCK,BROCK CANDY CO  -CL A,784275,2060
VCR.3,SENSORY SCIENCE CORP,784721,3651
DPAC,DPAC TECHNOLOGIES CORP,784770,3674
SRYP,SURETY CAPITAL CORP,784932,6020
3TVTGE,TREND VISION TECHNOLOGIES,784958,3690
VDCI,VDC COMMUNICATIONS INC,784961,4813
POR,PORTLAND GENERAL ELECTRIC CO,784977,4911
KMDC,KIRSCHNER MEDICAL CORP,785022,3842
RFTN,REFLECTONE INC,785037,3690
CTYA,CENTURY COMMUN  -CL A,785080,4841
VRGE,VIRAGEN INTERNATIONAL INC,785081,2836
EHC,ENCOMPASS HEALTH CORP,785161,8060
DRTK,DURATEK INC,785186,4955
CRTV,CREATIVE TECHNOLOGIES CORP,785321,5020
IFRS.,IFR SYSTEMS INC,785546,3825
DLHC,DLH HOLDINGS CORP,785557,8090
PLXS,PLEXUS CORP,785786,3672
AEPI,AEP INDUSTRIES INC,785787,3081
CTRY,CENTURY BANCSHARES INC,785813,6020
IHSVQ,INTEGRATED HEALTH SVCS INC,785814,8051
ELGT,ELECTRIC & GAS TECHNOLOGY,785819,3310
3MALUZ,MANAGEMENT ASSISTANCE LIQ TR,785852,3571
UFRM,UTD FED SVGS BK ROCKY MT NC,785854,6035
ITA.2,ITALY FUND INC,785855,6726
GGUY,GOOD GUYS INC,785931,5731
ARYTF,ARYT INDUSTRIES LTD,785938,3480
3CRCC,CRAFTMATIC INDUSTRIES INC,785939,2510
JJSF,J & J SNACK FOODS CORP,785956,2050
FOAM,LAMONTS APPAREL INC,785962,5651
MILLQ,MILLER ENERGY RESOURCES INC,785968,1311
3EFIC,EFI ELECTRONICS CORP,785970,3620
ASG,LIBERTY ALL-STAR GROWTH FUND,786035,6726
MPF.1,MERIDIAN POINT REALTY TR VI,786050,6798
0160A,GYMBOREE CORP,786110,2300
TTI.4,TYCO TOYS INC,786130,3944
