cik,sic,conm
4886,4922,AMERICAN DYNAMICS CORP
4904,4911,AMERICAN ELECTRIC POWER CO
4911,3812,AEL INDUSTRIES  -CL A
4962,6141,AMERICAN EXPRESS CO
4977,6321,AFLAC INC
5009,3080,AMERICAN FILTRONA CORP
5085,100,AMERICAN GARDEN PRODUCTS INC
5094,6726,INVESCO BOND FUND
5099,6726,VAN KAMPEN CONV SEC FD
5103,6311,AMERICAN GENERAL CORP
5133,2771,AMERICAN GREETINGS  -CL A
5172,6311,AMERICAN HERITAGE LIFE INVS
5177,3420,AMDURA CORP
5185,2452,AMERICAN HOME INDUSTRIES CP
5187,2834,WYETH
5193,7389,AMERICAN HOME SHIELD
5227,6331,AMERICAN INDTY FINL CORP
5272,6331,AMERICAN INTERNATIONAL GROUP
5281,7812,AMERICAN INTL PICTURES INC
5294,6141,AMERICAN INVESTMENT CO
5320,6311,AMVESTORS FINANCIAL CORP
5337,2621,HADERA PAPER LTD
5343,3560,AMERICAN LAFRANCE INC
5385,7331,AMERICAN LIST CORP
5405,2040,AMERICAN MAIZE-PRODS  -CL A
5421,3730,AMERICAN MARINE LTD
5442,8060,AMERICAN MEDICORP INC
5496,3711,AMERICAN MOTORS CORP
5505,5900,AMERICAN MUSIC STORES INC
5513,6321,UNUM GROUP
5549,3663,AMERICAN NUCLEONICS CORP
5550,9995,AMERICAN NUCLEAR CORP
5582,1311,AMERICAN PACIFIC INTL INC
5588,2670,AMERICAN PAD & PAPER CO
5611,2911,FINA INC  -CL A
5632,6331,AMERICAN PLAN CORP
5657,3621,AMERICAN PRECISION INDS
5696,1311,AMERAC ENERGY CORP
5719,7900,AMERICAN RECREATION CENTERS
5768,3844,AMERICAN SCIENCE ENGINEERING
5796,6020,AMERICAN SECURITY CORP
5818,3730,AMERICAN SHIP BUILDING CO
5870,3842,AMERICAN STERILIZER CO
5907,4813,AT&T CORP
5931,8200,CAREERCOM CORP
5951,6411,AMERICAN UNDERWRITERS GROUP
5981,2870,AMERICAN VANGUARD CORP
6009,3728,AMERICAN WELDING & MFG CO
6071,5331,AMES DEPT STORES INC
6091,3949,AMF INC
6097,5122,AMFAC INC
6125,3861,KEYSTONE CAMERA PRODUCTS
6143,2011,AMK CORP
6161,2211,AMOSKEAG CO
6164,3678,AMP INC
6175,3390,AMPCO METAL INC
6176,3312,AMPCO-PITTSBURGH CORP
6182,3651,AMPEX CORP
6201,4512,AMERICAN AIRLINES GROUP INC
6207,6552,AMREP CORP
6216,3320,AMSTED INDUSTRIES
