conm,cik,name_std,cik_retrieved_from_name
ADVANCEPCS,1012956.0,ADVANCEPCS,
AVIRON,949173.0,AVIRON,
PREMIUM BRANDS HLDGS CORP,2073955.0,PREMIUM BRANDS HLDG CORP,0001503812
SPIRITS CAP CORP,1881767.0,SPIRITS CAP CORP,0001020186
ARCELORMITTAL,1243429.0,ARCELORMITTAL,
RADCOM,1016838.0,RADCOM,
CENTRESPACE,798359.0,CENTRESPACE,
ASSERTIO HOLDINGS INC,1808665.0,ASSERTIO HLDG INC,0001005201
ELDERTRUST,1043236.0,ELDERTRUST,
ZAP,1024628.0,ZAP,
GLOBALDIGITALCOMMERCE.COM,1048135.0,GLOBALDIGITALCOMMERCECOM,
BAYER AG,1144145.0,BAYER AG,0000790075
SANTOS LTD,1470579.0,SANTOS LTD,0000800861
SUEZ,1158533.0,SUEZ,
SANOFI,1121404.0,SANOFI,
GLOBALMEDIA.COM,1037628.0,GLOBALMEDIACOM,
GREENFIRST FOREST PRDCTS INC,1871688.0,GREENFIRST FOREST PRDCTS INC,0001102706
MOUNT LOGAN CAPITAL INC,2051820.0,MOUNT LOGAN CAPITAL INC,0001832201
HERBORIUM GROUP INC,1429494.0,HERBORIUM GRP INC,0001077050
RH,1528849.0,RH,
AMDOCS,1062579.0,AMDOCS,
FARMHOUSE INC,1811999.0,FARMHOUSE INC,0001059579
RHODIA,1062814.0,RHODIA,
AUDIOHIGHWAY.COM,1030108.0,AUDIOHIGHWAYCOM,
KAZIA THERAPEUTICS LIMITED,1075880.0,KAZIA THER LTD,0001055886
GOUVERNEUR BANCORP INC,1978811.0,GOUVERNEUR BANCORP INC,0001063942
HEARME,1078693.0,HEARME,
FASHIONMALL.COM,1081202.0,FASHIONMALLCOM,
CSFBDIRECT,1026392.0,CSFBDIRECT,
PURCHASEPRO.COM,1087831.0,PURCHASEPROCOM,
ALAMOS GOLD INC,1178819.0,ALAMOS GOLD INC,0001078217
BLACKROCK INC,2012383.0,BLACKROCK INC,0001364742
BOYD GROUP SERVICES INC,2091467.0,BOYD GRP SERV INC,0001283950
HEALTHCENTRAL.COM,1095016.0,HEALTHCENTRALCOM,
ECOLLEGE.COM,1085653.0,ECOLLEGECOM,
HOTELS.COM,1098322.0,HOTELSCOM,
MARVELL TECHNOLOGY INC,1835632.0,MARVELL TECH INC,0001058057
