conm,tic,cik,sic
S & M CO,SAME,217058,5010
HARMON INDUSTRIES INC,HRMN.1,45635,3669
SAI GROUP INC,SAIG,319519,6411
SCRIBE SYSTEMS INC,3SSIX,730983,7372
SCA SERVICES INC,SCV.1,87073,4953
SCI SYSTEMS INC,SCI.1,87744,3670
SCB RESTAURANT SYSTEMS INC,4456B,728312,5812
SCM CORP,SCM.2,87840,2851
SEI INVESTMENTS CO,SEIC,350894,6282
SFE TECHNOLOGIES,SFEM,86537,3670
EXX INC  -CL A,EXEX,89261,3621
PARAGON TECHNOLOGIES INC,PGNT,90045,5045
SJW GROUP,SJW,766829,4941
SL INDUSTRIES INC,SLI.1,89270,3620
SMC INDUSTRIES INC,SMIN.,91111,5099
SMD INDUSTRIES INC,SDI.1,91115,2400
SMI USA INC,3SMIU,95111,8200
PROVECTUS BIOPHARMACEUTICALS,PVCT,315545,2834
SPS TECHNOLOGIES INC,ST.1,93444,3452
SPW CORP,4238B,725265,1700
STP CORP,STP.1,94733,2890
STSC INC,STSC.,87829,7374
VALEANT PHARMACEUTICALS -OLD,VRX.1,930184,2834
SW INDUSTRIES INC,SWI.1,95745,3089
SWLG CORP,SWLGC,320286,2020
CORDIANT COMMUNICATIONS GRP,CMUGY,1010401,7311
SABA OIL & GAS CORP,SBAAE,27077,1311
SABINE CORP,SAB.2,86036,1311
SABINE ROYALTY TRUST,SBR,710752,6792
SADLIER (WILIAM H.) INC,SADL,86082,2731
SAFE FLIGHT INSTRUMENT CORP,SAFE.,86097,3812
SAFE HARBOR WATER PWR,CEG2,86100,4911
IDEON GROUP INC,IQ.2,943097,7389
SAFECO CORP,SAF.3,86104,6331
SAFEGUARD BUSINESS SYSTEMS,SGB.1,314525,2761
SAFEGUARD SCIENTIFICS INC,SFE,86115,6799
SPINNAKER INDS INC  -CL A,SNNKA,314865,2670
SAFEWAY INC,SWY,86144,5411
SAFRAN PRINTING CO,SFRN,86153,2750
SAGA CORP,SGA.1,86158,5812
SAGE DRILLING CO INC,SAGE.,350019,1381
SAGE ENERGY CO,6041C,216991,1311
SAGE INTERNATIONAL INC,1132B,86165,5331
SAGE LABORATORIES INC,SLAB.,86166,3679
ARCHON CORP,ARHN,812482,7990
SAHLEN & ASSOCIATES INC,6607B,725476,7381
ST JOSEPH LIGHT & POWER,SAJ.1,86251,4931
ST JUDE MEDICAL INC,STJ,203077,3845
ST LOUIS SW RAILWAY CO,4129A,86291,4011
ST LOUIS STEEL CASTING INC,STLO10,86293,3290
SALANT CORP,3SLNTE,86346,2320
SALEM CARPET MILLS,SLCR.1,86357,2273
SALEM CORP,SBS.1,86358,3540
SALICK HEALTH CARE INC,SHCID,762131,8093
SAMARNAN INVESTMENT CORP,SMAV,104410,2300
SAN CARLOS MILLING CO INC,SCOF10,86519,100
ENOVA CORP,ENA.1,940170,4931
SAN JUAN BASIN ROYALTY TR,SJT,319655,6792
SAN JUAN RACING ASSN,SJR.1,86585,7948
SANDERS ASSOCIATES INC,SAA.2,86636,3812
SANDGATE CORP,SND.1,86657,6172
SANDS REGENT,SNDS.1,753899,7990
WALL STREET DELI INC,WSDI,705408,5812
SANGAMO ELECTRIC CO,SGM.1,203093,3825
SANITAS INC,SANS,86727,9995
MOVIE STAR INC,MSI.2,68649,2340
LA QUINTA CORP,LQI,313749,7011
SANTA FE SNYDER CORP,SFS.1,86772,1311
SANTA FE PIPELINE CO,2679A,86774,4922
SANTA FE PACIFIC CORP,SFX.2,732639,4011
SANTEC CORP,SNTEQ,311853,3577
SANYO MANUFACTURING CORP,2611B,203097,3651
HILLSHIRE BRANDS CO,HSH,23666,2013
SARATOGA MINES INC,SARA.1,355620,1040
SARGENT INDUSTRIES INC-CA,SGT.2,86829,3560
SASCO PRODUCTS INC,4458B,351366,2844
SATELCO INC,STELQ,719969,4813
ANGHEL LABORATORIES,3ANGH,706081,3679
SATELLITE INFO SYST CO-OLD,SATI.1,721235,7377
SATELLITE MUSIC NETWORK INC,SMNI,729270,4832
TEMPO ENTERPRISES INC,TPO.1,721380,4899
SATORI ENTERTAINMENT CORP,SENTE,722820,7822
SATURN AIRWAYS INC,SUR.1,86890,4522
SAUL (B.F.) REAL ESTATE INV,6075B,86902,6798
SAVANNAH ELECTRIC & POWER CO,SO5,86940,4911
SAVANNAH FOODS & INDS,SFI.1,86941,2060
SAVIN CORP,3SVINV,276894,5040
SAVOY INDUSTRIES INC,3SVOYE,86994,2253
SAXTON PRODUCTS INC,4615B,87032,3357
SBARRO INC,0053A,766004,5812
SCAN DATA CORP,2971B,87082,3577
SCAN OPTICS INC,3SOCR.,87086,3577
SCANTRON CORP,SCNN.,715058,3577
SCANA CORP,SCG,754737,4931
SCANFAX SYSTEMS CORP,2500B,87096,5961
SCANFORMS INC,SCFM,87097,2761
SCEPTRE RESOURCES LTD,SRL.3,747836,1311
SCHAAK ELECTRONICS INC,SHAAQ,87121,5731
PURCHASESOFT INC,PSFX,727063,7372
SCHAEVITZ ENGINEERING,1330B,87147,3679
SCHEIB (EARL) INC,ESHB,87196,7500
SCHENLEY INDUSTRIES INC,SH.1,87232,2080
SCHENUIT INVESTMENTS INC,SCH.1,87233,6799
SCHERER (R P)/DE,SHR.2,855106,2834
SCHLUMBERGER LTD,SLB,87347,1389
SCHOLASTIC CORP,SCHL,866729,2731
SCHOLL INC,SHOL,87462,3842
SCHOOL PICTURES INC,6076B,205863,7384
SCHOTTENSTEIN STORES CORP,4128B,87500,5311
SCHULMAN (A.) INC,SHLM,87565,2821
FRESH BRANDS INC,FRSH.1,1135431,5140
SCHWARTZ BROS INC  -CL A,SWAAQ,87669,7822
SCHWERMAN TRUCKING CO,1289B,87731,4213
SCIMED LIFE SYSTEMS INC,SMLS,87743,3841
SCI PRO INC,SPRO.,310381,7373
LATTICE INC,LTTC,350644,7370
SCIENCE MANAGEMENT CORP,3SMGN.,87759,8742
SCIENTIFIC-ATLANTA INC,SFA.1,87777,3663
SCIENTIFIC COMMUNICATIONS,SCFC.,751367,3812
SCICOM DATA SERVICES LTD,6419B,87783,7374
SCIENTIFIC CONTROL CORP,SCTL,87784,3570
SCIENTIFIC DATA SYSTEMS INC,SDS.1,87785,3571
TRANSTECH INDUSTRIES INC,TRTI,87799,4991
SCIENTIFIC INDUSTRIES INC,SCND,87802,3821
SCIENTIFIC MICRO SYSTEMS INC,6420B,745490,3577
SCIENTIFIC RADIO SYSTEMS INC,3SCRD,87817,3663
SCIENTIFIC SYSTEMS SERVICES,SSSV,715167,7373
SCIOTO DOWNS INC,3SCDO,87836,7948
SCIOTO INVESTMENT CO,BB.A,12027,5411
SUNY CELLULAR COMMUNICATION,SCIXF,315816,5065
SCOPE INC,4716B,87863,3663
SCOPE INDUSTRIES,SCPJ,87864,2040
COLORADO WYOMING RESERVE CO,CWYR,318852,1311
SCOTT & FETZER CO,SFZ,87897,3630
SCOTT CABLE COMMUNICATIONS,JSCC,723272,4841
VOICE CONTROL SYSTEMS INC,VCSI,350899,3577
SCOTT PAPER CO,SPP.3,87949,2621
SCOTT SCIENCE & TECHNOLOGY,3SSTHE,735635,8711
SCOTTEX CORP,SXX.,87985,2200
SCOTT'S LIQUID GOLD,SLGD,88000,2844
SCOTTY'S INC,SHB,88005,5211
SCOVILL INC,SCO.1,88010,3634
SCRIPPS HOWARD BROADCASTING,SCRP.,88034,4833
SCRIPTO INC,SCPT.,88036,3950
SCRIPTOMATIC INC,SCMA.,203140,3579
SCRIVNER INC,SCR.2,88037,5141
SCURRY-RAINBOW OIL LTD,SRB.1,88076,1311
SEA CONTAINERS LTD  -CL A,SCRA.,88095,4011
SEA GALLEY STORES INC,3SEAGE,275985,5812
SEA LAND CORP,SLN.1,743535,4412
SEA PINES CO,1659B,88103,7011
SEA WORLD INC,SEAW,88113,7990
CSX TRANSPORTATION INC,CSX3,88128,4011
SEABOARD CORP,SEB,88121,9997
SEAFIRST CORP,SFC.2,88178,6020
SEAFOOD HOLDING CORP,SFHC,17719,5141
SEAGATE TECHNOLOGY-OLD,SEG.2,354952,3572
SEAGO GROUP INC,3SEGO,63516,6512
SEAGRAM (JOSEPH E.) & SONS,VO1,88189,2080
SEAGRAM CO LTD,VO.3,88188,3652
OCEAN ENERGY INC,OEI.,320321,4923
SEAGULL RESOURCES LTD,SGULF,746960,1311
DIGITAL TURBINE INC,APPS,317788,7372
LEAP TECHNOLOGY INC,LPTC,110027,9995
SEAL INC,SINC.,69789,3559
SEALECTRO CORP,SG.1,88201,3679
SEALED AIR CORP,SEE,1012100,3081
SEAMAN FURNITURE CO,SEAM,770504,5712
SEAPORT CORP,3SEOP,88217,5013
SEARCH FINANCIAL SERVICES,SFSIQ,318672,6153
SEARS ROEBUCK & CO,S.1,319256,5311
SEARS ROEBUCK ACCEPTANCE CP,S1,88255,6153
SEATRAIN LINES,3SETLD,88275,4400
SEAWAY FOOD TOWN INC,SEWY,88296,5411
ABC DISPENSING TECHNOLOGIES,KWGI,748103,7600
SECURITIES OF AMERICA INC,2521B,110026,1531
SECURITY BANCORP INC/MI,SECB,88496,6020
SECURITY CAPITAL/DE  -CL A,SCC.2,314340,6411
SECURITY PACIFIC CORP,7448B,88608,6020
SECURITY PLASTICS INC,1931B,88633,3089
SECURITY TAG SYSTEMS INC,STAG.1,356623,3669
SEDCO INC,SED.1,88686,1381
SEEQ TECHNOLOGY INC,SEEQ,702756,3576
SEES CANDY SHOPS INC,SEES,88729,2060
SEGA ENTERPRISES INC,3SEGA,88734,3990
SEILON INC,SEIL,88778,6799
SEIS PROS INC,SEI.1,353608,1382
TRAKIT CORP,4142B,354867,1382
SEITEL INC,3SELA,750813,1382
INTRICON CORP,IIN,88790,3842
SELCO INC,SELC.,88794,5944
SUMMA TECHNOLOGIES INC,SELT.1,723556,7372
SELECTERM INC,3SLTM,718577,7377
SELIGMAN & LATZ INC,SAL.3,88877,7200
SEMICON INC,3SEMEE,88922,3674
SEMTECH CORP,SMTC,88941,3674
SENTRY DATA INC,3SENDE,715802,3571
SENECA OIL CO,SNCAQ,88952,1311
SENSORMATIC ELECTRONICS,SRM,88974,3669
SENTEX SENSING TECHNOLOGY,SNTX.1,729599,9995
SENTRY MANUFACTURING CO,4125B,89017,3679
SEPAREX CORP,SEPX,352062,8711
SAGEMARK COMPANIES LTD,SKCO,89041,9995
SEQUOYAH INDUSTRIES INC,SEQ.1,89046,2273
SERNCO INC,1850B,89067,8711
SERVAMERICA INC,1056B,89078,1531
SERVICE CORP INTERNATIONAL,SCI,89089,7200
SERVICE MERCHANDISE CO,3SVCDQ,89107,5399
SERVICEMASTER CO,5946B,1052045,7340
LODGIAN INC,LGN.2,1066138,7011
SERVINATIONAL INC/OH,SVNL,89122,4220
SERVISCO,SVO.1,899391,7200
SERVO CORP OF AMERICA,5885C,89127,3743
SERVOMATION CORP,SVM.1,89135,5960
SERVOTRONICS INC,SVT,89140,3621
SETON CO,SEL.2,89161,3100
SEVEN J STOCK FARM INC,SVJJ,89177,1311
SEVEN OAKS INTERNATIONAL INC,3QPON.,352330,7389
SERVICE FRACTURING CO,SERF,317832,1389
SERVAMATIC SYSTEMS INC,SSSIQ,701651,5960
745 PROPERTY INVESTMENTS,2890A,23420,6798
SEVERSKY ELECTRONATOM CORP,2559B,89216,6794
TRINIDAD CORP,3TDADE,350915,9995
SHAER SHOE CORP,SHS.3,89289,3140
SHAKESPEARE CO,SKP.1,217144,3949
SHAKLEE CORP,5967B,89326,2834
SHANLEY CORP,3SOCM,701050,5500
SHANNON GROUP INC,SHAN.,317986,5160
SHAPELL INDUSTRIES,SHA.1,89377,1531
SHARED MEDICAL SYSTEMS CORP,SMS.2,89415,7373
SHATTERPROOF GLASS CORP,SHATQ,89472,3231
SHAW INDUSTRIES INC,SHX,89498,2273
SHAWMUT CORP,SHAS,89522,6020
SHAWCOR LTD,SAWLF,1196733,3470
SHEFFIELD WATCH CORP,SFW.,89597,5099
SHELBY WILLIAMS INDS INC,SY.1,730564,2590
SHELDAHL INC,SHELQ,89615,3672
SHELDON PETROLEUM CO,2715B,89620,1311
SHELL CANADA LTD  -CL A,3SCUAF,702983,2911
SHELL OIL CO,4108A,89629,1311
SHELL PIPE LINE CORP,SUO1,89633,4610
SHELL TRANSPORT AND TRADING,SC.1,89635,2911
SHELLER-GLOBE,4969C,89638,3714
SHENANDOAH CORP,SHD.1,89681,2300
SHENANDOAH OIL CORP,SHN.1,89688,1311
SHEPMYERS INVESTMENT CO,3SHYI,225852,3140
SHENANDOAH TELECOMMUN CO,SHEN,354963,4813
SHERIDANE DESIGNS LTD INC,1300B,89746,2320
VIRIDIAN INC,8673B,896644,2870
SHERWIN-WILLIAMS CO,SHW,89800,2851
SYNPRO ENVIRONMENT SVCS,SYNP.,89807,6799
SHIPPERS DISPATCH INC,SHIP.1,89865,4210
SHONEY'S INC,3SHOY,89902,5812
AMERICAN WATER RESOURCES INC,3AWRI,80040,6532
SHOP & GO INC,SHGO,89910,5412
SHOP RITE FOODS INC,1658B,89913,5411
LOTSOFF CORP,LOTS,735584,5331
SHOPSMITH INC,SSMH,89925,3550
SHOPWELL INC,SH.2,89926,5411
SHOREWOOD CORP,SHOR.,896231,6552
SHOWBOAT INC,SBO..,89966,7990
SHULTON INC,SHU.1,90012,2844
SIBONEY CORP,SBON,90057,7372
SIERRA HEALTH SERVICES,SIE,754009,6324
SIERRA PACIFIC INDUSTRIES,SIP.1,90143,2421
SIERRA PACIFIC POWER CO,SRP1,90144,4931
JOHN D OIL AND GAS CO,JDOGQ,1086411,1311
SIERRA RESEARCH CORP,SERE,860324,3812
MRI MEDICAL DIAGNOSTICS INC,3MRMDQ,217165,8071
SIERRA SPRING WATER CO,WTR.1,744290,2086
SIERRACIN CORP,SER.2,90163,3728
SIFCO INDUSTRIES,SIF,90168,3724
SIGMA-ALDRICH CORP,SIAL,90185,2833
SIGMAFORM CORP,SGMA.1,90206,3080
SIGMATICS,2249B,90209,7371
SIGNAL FINANCE CORP,2081A,90218,6141
SIGNETICS CORP,SNET.,1397051,3679
SIKES CORP  -CL A,SK.A,90245,3250
SILCO INC,1404B,90259,1311
SIGMA RESEARCH INC,5817B,700712,3827
SYMMETRICOM INC,SYMM,82628,3661
SILICON SYSTEMS INC,SIL.4,318284,3674
SILICON TRANSISTOR CORP,SIC.1,90280,3679
SILICON VALLEY GROUP INC,SVGI,712752,3559
SILICONIX INC,SILI,90283,3674
SILO INC,SIL.5,90294,5700
SILTEC CORP,SLTC.,314937,3674
SILICON VALLEY RESEARCH INC,MCIM,708367,3674
ALTA GOLD CO,ATGDQ,90350,1040
SILVER MOUNTAIN LEAD MINES,SDMC,90366,6795
MCEWEN MINING INC,MUX,314203,1040
SILVERCREST CORP,SLVI,90429,2451
SIMERA CORP,1098B,90479,7311
SIMMONS AIRLINES INC,SIMM.,731944,4512
SIMMONS CO,SIM.4,1014022,2510
SIMON STORES INC,1854B,90543,5200
SIMPLEX INDUSTRIES INC,SPX.1,90562,2600
SIMPSON INDUSTRIES,SMPS,90588,3714
SINCLAIR OIL CORP,L.1,90633,2911
SINCLAIR VENEZUELAN OIL CO,2575B,90643,6799
BICOASTAL CORP,5573C,90656,3690
SINGER CREDIT CORP,SMF1,90663,6153
PERVASIP CORP,PVSP,90721,5200
SIS CORP,3SISBQ,719113,5812
SISKON CORP,SIS.1,203209,6799
SIPPICAN INC,SOSI.,354911,3812
SIZZLER RESTAURANTS INTL INC,SIZZ,706694,5812
SKELLY OIL CO,SYE.1,90827,2911
SKIL CORP,SKC.1,90847,3540
SKIPPER'S INC,SKIP,352680,5812
SKY CITY STORES INC,SCS.3,90880,5311
SKY EXPRESS INC,SKYX,739427,4210
SKYLINE OIL CO,SKYL.1,90898,1311
SLANT FIN CORP,1104B,90933,3433
SLATER DEVELOPMENT CORP,STDV,90938,6799
SLATTERY GROUP INC,3SGIB,4139,9995
SLAUGHTER BROTHERS INC,SLBR,90954,5031
SLICK CORP,SLI.2,90976,2890
SLOAN TECHNOLOGY CORP,SLON,90993,3823
SMITH (A.O.),AOS,91142,3630
SMITH INTERNATIONAL INC,SII.1,721083,2890
SMITH LABORATORIES INC,SMLB,319094,3842
SMITHFIELD FOODS INC,0173A,91388,2013
SMITHKLINE BECKMAN CORP,SKB,852138,2834
SMUCKER (JM) CO,SJM,91419,2033
SNAP-ON INC,SNA,91440,3420
SNELLING & SNELLING INC,3SNLD,91455,7361
SNYDER CORP,1158B,91513,3540
SNYDER OIL PARTNERS  -LP,SOI.1,357221,1311
KEYCORP,KEY,91576,6020
ALTERNATIVE DISTRIBUTORS CP,3ADTBE,357010,5140
SOLAR SATELLITE COMM,SSCI,729588,7389
SOFTECH INC,SOFT,354260,7372
SOFTWARE PUBLISHING CORP,SPCO.,755659,7372
SOFTWARE SERVICES OF AM INC,3SSOAE,725628,7372
SOHIO PIPE LINE CO,SRD1,91621,4610
SOLA BASIC INDUSTRIES INC,SOL.2,91631,3679
SOLAR CONTROL CORP,2223B,91637,3430
SOLIDYNE INC,SLDN,91665,3690
SOLITRON DEVICES INC,SODI,91668,3674
SOLV EX CORP,3SOLVQ,350305,1311
SOLAR ENERGY RESEARCH CORP,2457B,91642,3430
4FRONT TECHNOLOGIES INC,FFTI.1,91649,7373
SOLAR DEVELOPMENT INC,SOLA.,217199,3433
SOLAR METRICS INC,3SLMC.,310537,8700
SOLAR TECHNOLOGY CORP,3SOLXE,312033,3433
SONAR RADIO CORP,SONR,91735,3663
SONAT INC,SNT.1,92236,4922
SONDERLING BROADCASTING CORP,SDB,91737,4833
SONESTA INTL HOTELS  -CL A,SNSTA,91741,7011
SONOCO PRODUCTS CO,SON,91767,2650
SONOMA INTERNATIONAL,4561B,91771,1531
SONY GROUP CORPORATION,SONY,313838,3600
SOONER DEFENSE OF FLORIDA,SOOQE,730810,3480
SORG PAPER CO,SOG.1,91807,2621
SOSSIN SYSTEM INC,2490B,91821,6500
SOUND WAREHOUSE INC,SWHI.1,773148,5735
SOUNDESIGN CORP,SON.2,91844,3651
SOUTH CAROLINA ELEC & GAS CO,SCG1,91882,4931
SOUTH CAROLINA NATL CORP,SCNC,91893,6020
SOUTH CENTRAL BELL TELEPHONE,BLS2,91899,4813
SOUTH JERSEY INDUSTRIES INC,SJI,91928,4924
SOUTH STANDARD MINING CO,3SOSM,91950,5160
SOUTH STATES OIL & GAS CO,2458B,91955,1311
PIONEER ENERGY SERVICES CORP,PESXQ,320575,1389
SOUTHDOWN INC,SDW,313058,3241
SOUTHEAST BANKING CORP,STBPQ,91980,6020
SOUTHEAST EXPLORATION CORP,SOXP,91986,1311
SOUTHEASTERN MICH GAS CO,SEN1,92039,4924
SEMCO ENERGY INC,SEN.2,277158,4924
SOUTHEASTERN PUBLIC SVC CO,3SSPS,92050,5900
SOUTHERN AIRWAYS INC,STHN,92073,4512
BELLSOUTH TELECOMMUNICATIONS,BLS1,92088,4813
SOUTHERN BIOTECH INC,SBTQE,352972,2836
EDISON INTERNATIONAL,EIX,827052,4911
SOUTHERN CALIFORNIA GAS CO,SRE2,92108,4924
AMERICAN STATES WATER CO,AWR,1056903,4941
SOUTHERN CO,SO,92122,4911
SOUTHERN ELECTRIC GENERATING,3022A,92150,4911
SOUTHERN FILM EXTRUDERS INC,SFLM.1,92166,3081
SOUTHERN HOSPITALITY,SHOS.1,52552,5812
SIGCORP INC,SIG.2,945372,4931
SOUTHERN INDUSTRIES CORP,SOIN,92200,3290
SOUTHERN MINERAL CORP,3SMOP,92223,1311
SOUTHERN NATURAL GAS CO,SNT1,92232,4923
SOUTHERN NEW ENG TELECOMM,SNG.1,790650,4813
SOUTHERN PACIFIC TRANSN CO,RSP1,92259,4011
NORFOLK SOUTHERN RAILWAY CO,NSC1,92275,4011
SOUTHERN SCOTTISH INNS INC,SSCT,92284,6794
SOUTHERN UNION CO,SUG,203248,4924
7-ELEVEN INC,SE.3,92344,5412
SOUTHLAND ENERGY CORP,3SLEC,217220,1311
SOUTHLAND FINANCIAL CORP,SFIN.1,92349,6552
SOUTHLAND PAPER MILLS INC,SPPM,92358,2600
SOUTHLAND RACING CORP,1140B,92359,7948
SOUTHLAND ROYALTY CO,SRO.2,92361,1311
SOUTHMARK CORP,SMRK,701996,6532
SOUTHTRUST CORP,SOTR,92081,6020
SOUTHWARD VENTURES INC,1875B,101113,4950
SOUTHWEST AIRLINES,LUV,92380,4512
SOUTHWEST AIRMOTIVE CO,SAX.2,92381,7500
SOUTHWEST BANCSHARES,SWB.1,882854,6020
SOUTHWEST FLORIDA BANKS INC,SFB.,865363,6020
SOUTHWEST FOREST INDUSTRIES,SWF,92412,2621
SOUTHWEST GAS HOLDINGS INC,SWX,1692115,4923
SOUTHWEST LEASING CORP,SWES,1061823,6172
SOUTH WEST PPTY TR INC,SWP.1,887983,6798
SOUTHWEST WATER CO,SWWC,92472,4941
AT&T INC,T,732717,4812
SOUTHWESTERN BELL TELEPHONE,SBC1,92476,4813
SOUTHWESTERN ELECTRIC PWR CO,AEP13,92487,4911
SOUTHWESTERN ELEC SERVICE,SWEL,92488,4911
SOUTHWESTERN ENERGY CO,SWN,7332,4923
SOUTHWESTERN PUBLIC SVC CO,NCE2,92521,4911
SOVEREIGN INDUSTRIES INC,SOVE.,92548,3724
C & S SOVRAN CORP,CVN.3,857167,6020
SPACELABS INC,SLAS,92605,3845
JONES SPACELINK LTD  -CL A,SPLKA,353796,4841
SPACERAYS INC,SRAY.1,92609,3600
SPAN-AMERICA MEDICAL SYS INC,SPAN,718924,3842
SPANG INDUSTRIES INC,SPNG.,92631,3670
SPARTAN FOOD SYSTEMS INC,SF.1,92663,5812
THE SHYFT GROUP INC,SHYF,743238,3711
SPARTECH CORP,SEH,77597,3080
SPARTON CORP,SPA,92679,3679
SPEARHEAD INDS INC-MN,3SPRH,355968,2844
CANADIAN PIPER AIR CORP,CANP,313261,3572
SPECIALTY COMPOSITES CORP,SPCM.,92729,3086
SPECTEX INDUSTRIES INC,3SCXIE,92739,5140
SPECTRAVISION INC,SVN.2,819898,4841
SPECTRAN CORP,SPTR,718487,3220
SPECTRASCAN INC,3SPCSQ,741903,3825
SPECTRO INDUSTRIES INC,SPO.1,92761,5122
SPECTRONICS INC,SPCT.1,92764,3670
SPECTRUM COMMUNICATION CP-CO,3031B,350486,4832
SPECTRUM CONTROL INC,SPEC.2,92769,3679
SPECTRUM GROUP INC,BUG.,728299,2870
SPECTRUM LABORATORIES INC,3SPTM,319013,3821
STAR STRUCK LTD,SRSK,771504,5063
SPEIDEL NEWSPAPERS INC,SPNS.,92824,2711
SPEIZMAN INDUSTRIES INC,SPZN,92827,5084
SPENCER FOODS INC,SFD.3,92849,2011
SPENDTHRIFT FARM INC,3SFICA,729499,200
SPERRY & HUTCHINSON CO,SNH.,92874,2273
SPERRY CORP,SY.2,92879,3570
SPERRY FINANCIAL CORP,SY1,203268,6153
SPERTI DRUG PRODUCTS INC,3SPER,92884,3640
SPEX GROUP INC,SPEX.,734780,3826
SPEX INDUSTRIES INC,SPEX.1,92888,3826
SPIEGEL INC  -CL A,SPGLQ,276641,5961
SPIRE CORP,SPIR.1,731657,3674
SPLENTEX INC,SPL.2,92955,2300
SPORTS RESTAURANTS INC,SPSR,1046623,5812
SPORTING LIFE INC,8111B,727503,5961
SLHD INC,3SLHD,730339,3021
SPORTS ARENAS INC,SPAI,93003,3949
SPRAGUE ELECTRIC CO,SPE.1,93037,3670
SPRINGS INDUSTRIES  -CL A,SMI.1,93102,2211
SPROUSE-REITZ STORES  -NVTG,3SREJQ,93109,5331
SQUARE D CO,SQD.1,93128,3613
SQUARE INDUSTRIES INC,SQAI,93134,7500
SQUIBB CORP,SQB,93146,2834
STA-RITE INDUSTRIES,SRE.1,1518869,3561
STAAR SURGICAL CO,STAA,718937,3851
STACY INDUSTRIES INC,STCYQ,89869,2200
STADIUM REALTY TRUST,SSR.1,1048467,6798
STALEY CONTINENTAL INC,STA.1,759663,5141
STAMFORD WATER CO,1674B,93258,4941
FIAC INC,FIAX,320549,1040
STANADYNE INC,STNA,93272,3430
STANDARD BRANDS PAINT CO,3SBPC,93308,5200
STANDARD COMMERCIAL CORP,STW,93319,5150
STANDARD CONTAINER CO,STT.2,93323,3412
STANDARD DREDGING CORP,STDG,93332,1600
STANDARD ELECTRONICS INC,SDEL,93340,5065
STANDARD ENERGY CORP,STDE,205921,1311
STANDARD HAVENS  -CL A,SHV.1,1142470,3531
APPOINT TECHNOLOGIES INC,3APNGE,93379,3559
STANDARD METALS CORP,ADGI.1,93383,1000
STANDARD MICROSYSTEMS CORP,SMSC,93384,3674
STANDARD MOTOR PRODS,SMP,93389,3690
STANDARD OIL CO,SRD,93419,2911
CALATLANTIC GROUP INC,CAA,878560,1531
STANDARD PRODUCTS CO,SPD.1,93448,3714
STANDARD REGISTER CO,SRCTQ,93456,2761
STANDEX INTERNATIONAL CORP,SXI,310354,3585
STANDUN INC,SDUN,93507,3714
STANFORD TELECOMMUNICATIONS,STII.1,725727,3663
STANG HYDRONICS INC,STGH,93522,3561
STANGE CO,STS.2,93523,2030
ENESCO GROUP INC,ENCZQ,93542,5190
STANLEY AVIATION CORP,SAC,93533,3728
STANLEY BLACK & DECKER INC,SWK,93556,3540
STANRAY CORP,SRY.,93561,3743
STANROCK URANIUM MINES LTD,SKU.,93565,1000
NUDG MEDIA INC,NDDG,1526183,7370
STANWICK CORP,3STKC,93584,8711
STAODYN INC,SDYN,203285,3845
STAR DUST MINES INC,4119B,93600,1311
STAR TECHNOLOGIES INC,STRR..,1387767,7372
STARCOM INC,STAR.4,707417,4841
STARR BROADCASTING GROUP INC,SBG.1,110558,4833
STARRETT (L.S.) CO  -CL A,SCX,93676,3420
STARRETT CORP,SHO.2,93675,1531
STARTEL CORP,STAS.,725572,3661
NAUTICA ENTERPRISES INC,NAUT.1,93736,2320
STATE STREET CORP,STT,93751,6020
STATEX PETROLEUM INC,SEP.2,93714,1311
STATHAM INSTRUMENTS INC,STI.3,93786,3829
STATUS GAME CORP,3STGM,714285,5960
STAUFFER CHEMICAL CO,STF.,93813,2810
STEARNS MANUFACTURING CO,SMFG.,93875,3842
STEEGO CORP,7566B,94170,9995
STEEL TECHNOLOGIES INC,STTX.,771790,3310
STEELMET INC,SML.1,93912,5090
STEEP ROCK RESOURCES INC,SR.4,93918,1400
STEIGER TRACTOR INC,STGRQ,93945,3523
STEIN HALL & CO INC,SHC.2,93959,2890
STELBER INDUSTRIES INC,SI.4,94020,3944
STEPAN CO,SCL,94049,2840
STERCHI BROTHERS STORES INC,SBI.1,94108,5712
STEREO VILLAGE INC,STRV10,743928,5731
HYAL PHARMACEUTICAL CP,3CADEF,886218,2834
STERLING BANCORP/NY -OLD,STL.2,93451,6020
STERLING COMMUNICATIONS INC,STER.,94125,4841
STERLING DRUG INC,STY.1,94130,2834
STERLING ELECTRONICS,SEC.1,94136,5065
STERLING EXTRUDER CORP,SLX.3,94138,3559
STERLING OIL OF OKLAHOMA INC,4013B,94167,8711
STERLING PIPE & SUPPLY CO,4042B,350825,5051
STERLING SOFTWARE INC,SSW.1,716714,7372
STERLING SUGARS INC,STSU,94185,2060
STERNER LIGHTING SYSTEMS,SLTG,94248,3640
PRECIPITATE GOLD CORP,PREIF,1577583,1040
STEVCOKNIT INC,SKT.2,94260,2250
STEVIA INC,3STEVE,731933,2090
STEWART & STEVENSON SERVICES,SVC.2,94328,3711
STEWART INFORMATION SERVICES,STC,94344,6361
STEWART FOODS INC,STEW,94369,9995
STOCKHOLDER SYSTEMS,SSIAA,732591,7372
STOKELY VAN CAMP INC,OAT1,94567,2086
STONE & WEBSTER INC,SWBIQ,94601,8711
STOP & SHOP COS,SHP.1,880267,5411
PUBLIC STORAGE,PSA,1393311,6798
STORAGE TECHNOLOGY CP,STK.1,94673,3572
