conm,tic,cik,sic
AFFILIATED BANKSHARES COLO,AFBK.,2682,6020
AFFILIATED CAPITAL CORP,AFD,2684,6552
AFFILIATED PUBNS,AFP.1,849696,2711
AFTER SIX INC,TUX.1,2741,2300
IDNA INC,IDAI.,1004981,4899
AGGIE OIL CO,AGGY.1,353335,1381
AGNICO EAGLE MINES LTD,AEM,2809,1040
AGRI DYNAMICS INC,AGDY,2817,3713
AGROW INDUSTRIES INC,1065B,53553,3523
AGUIRRE CO,AGG.2,2850,6500
AGWAY INC,1900B,2852,5172
AHMANSON (H F) & CO,AHM.1,771667,6035
AIKEN INDUSTRIES INC,AKN.1,2899,3812
AILEEN INC,AEENQ,2904,2253
AIR CALIFORNIA,AIAO,2926,4512
AIR CARGO EQUIPMENT CORP,ARCE.1,2929,3537
AIR CHAPARRAL INC,ACHPQ,352059,4512
AIR EXPRESS INTERNATIONAL CP,AEIC,700674,4731
AIR FORWARDERS INC,1335B,2947,4731
AIR KING CORP,AKNG,2953,3560
AIR MIDWEST INC,AMWI.,310454,4512
AIR PRODUCTS & CHEMICALS INC,APD,2969,2810
AIR T INC,AIRT,353184,4513
AIR WISCONSIN SERVICES INC,ARWS,717324,4512
AIRBORNE INC,ABF,3000,4513
ACI HOLDING INC,ACF.1,793154,4512
AIRCO INC,AN.1,3010,2810
AIRLIFT INTERNATIONAL INC,ALFT,3042,4512
AIRPAX ELECTRONICS INC,AXE.1,3050,3679
AIRWICK INDUSTRIES INC,AWI.1,3086,2840
AJAX MAGNETHERMIC CORP,AJX..,3094,3560
ALA MOANA HAWAII PROPERTIES,ALA.2,353502,6512
ALABAMA GAS CORP,EGN1,3146,4924
ALABAMA POWER CO,SO1,3153,4911
ALAMCO INC,AXO.1,355115,1311
ALANCO TECHNOLOGIES INC,ALAN,98618,4950
ALANTHUS CORP,ALTS.,3193,7350
ALASKA AIR GROUP INC,ALK,766421,4512
ALASKA GOLD CO,3AGLD,3228,1040
ALASKA INTL INDUSTRIES INC,ALKA,3241,1600
ALASKA NORTHWEST PROPERTIES,3ANWP,313809,6512
ATRION CORP,ATRI,701288,3841
ALBA-WALDENSIAN INC,AWS.1,3292,2250
ALBEE HOMES INC,ALBE,3310,2451
ALBERTA ENERGY CO LTD,AOG.3,927600,1311
ALBERTO-CULVER CO,ACV.1,1368457,2844
ALBERTSON'S INC,ABS.1,3333,5411
ALCAN INC,AL.1,4285,3350
ALCIDE CORP,ALCD.,708484,2870
AMERISOURCE CORP,ABC1,1476003,5122
IKON OFFICE SOLUTIONS,IKN,3370,5040
ALCOLAC INC,ALC.1,3379,2890
ALCON LABORATORIES INC,ALB.1,3382,2834
ALDEBARAN DRILLING CO INC,4306B,351537,1381
ALDEN ELECTRONICS INC,ADNE,3398,3661
ALDON INDUSTRIES INC,2904B,3417,2273
ALEXANDER & ALEXANDER,AAL.1,3449,6411
MATSON INC,MATX,3453,4400
ALEXANDER ENERGY CORP,AEOK,355143,1311
ALEXANDER'S INC,ALX,3499,6798
CAPCO ENERGY INC,CGYNQ,354767,1311
TAMIR BIOTHECHNOLOGY INC,ACEL.,708717,2836
ADRIEN ARPEL INC,AFN.2,724989,2844
ESSAR STEEL ALGOMA INC,0065A,1616896,3312
ALGOREX CORP,3ALGD,3535,3672
AMERICAN EAGLE RESOURCES INC,AEIR,731297,1040
ALICO INC,ALCO,3545,100
ALISON AYRES INC,1957B,3550,2300
ALL AMERICAN GOURMET CO,AAGC.,774380,2030
ALL AMERICAN INDUSTRIES INC,AAMN,225014,3440
ALL SEASONS RESORTS INC,3ALSE,739624,7000
PETRO USA INC,PBAJ,745543,5500
ALLEGHANY CORP,Y,775368,6331
ALLEGHENY & WESTERN RAILWAY,AWRY,3650,6519
ALLECO INC,5566C,3656,3452
SUNBEAM CORPORATION,3SOCNQ,3662,2390
ALLEGHENY ENERGY INC,AYE,3673,4911
ALLEN TELECOM INC,ALN.2,3721,3663
ALLEN ORGAN CO  -CL B,AORGB,3753,3576
ALLERGAN PHARMACEUTICALS INC,AGN.3,215038,2834
ALLIANCE NORTHWEST INDS INC,3ALNI,745452,5700
ALLIED AERO INDUSTRIES INC,AIIO,3819,3728
ALLIED ARTISTS PICTURES CORP,AAP.1,3827,7812
ALLIED FARM EQUIPMENT  -CL A,2953B,3877,5080
ALLIED FOODS INC,ALFD.,3883,2040
ALLIED NURSING CARE INC,HOPE.1,727326,8082
ALLIED PRODUCTS,ADPC,3941,3540
ALLIED SECURITY INC-OLD,ASCY,1172335,7381
HONEYWELL INTERNATIONAL INC,HON,773840,9997
ALLIED THERMAL CORP,AS.1,3971,3585
ALLIED VAN LINES INC,2937B,3975,4213
ALLIS-CHALMERS ENERGY INC,ALY,3982,1381
ALLISON STEEL MFG CO,ASE.1,3998,3310
ALLISTER CORP,1311B,103348,3690
ALC COMMUNICATIONS INC,ALC.2,783425,4813
ALLOY METAL PRODUCTS INC,2874B,4006,3310
ALLRIGHT AUTO PARKS INC,ALR.2,4013,7500
ALLY & GARGANO INC,AGAI.,731773,7311
ALLSTATE FINANCIAL CORP,2058A,215042,6153
ALLTEL CORP,AT.2,65873,4812
ALLYN & BACON INC,ALYN.,4047,2731
ALMY STORES INC,ALY.1,42675,5311
SCHERER HEALTHCARE INC,SCHR.1,703598,4955
ALOHA INC,ALO.4,4082,4512
ALPEX COMPUTER CORP,2799B,4107,6799
SKYWORKS SOLUTIONS INC,SWKS,4127,3674
ALPHANUMERIC INC,ALFA.2,4156,3640
ALPHATYPE CORP,ALTP,4157,3555
ALPINE GROUP INC,APNI,4164,3357
ASIA SUPERNET CORP,3ASUPE,4165,6513
ALPHA PETROLEUM EXPLORATION,APET,90685,1311
NQL INC,NQLIQ,1122965,7373
ALLTEL NEW YORK INC,AT4,66081,4813
ALLTEL PENNSYLVANIA INC,AT2,65899,4813
ALLTEL ILLINOIS INC,AT1,31140,4813
ALTA INDUSTRIES CORP,1003B,4199,5099
ALTA LOMA OIL CO,2090B,55905,1311
ALTAIR CORP-DEL,ALTA.1,4206,2040
